MAR_Level,Missing_Values,Accuracy,F1_Score,ROC_AUC
5,146,0.9191919191919192,0.9398496240601504,0.901022357038535
10,248,0.9191919191919192,0.9398496240601504,0.9003482754746658
20,432,0.9191919191919192,0.9398496240601504,0.9029322548028311
30,593,0.9090909090909091,0.9323308270676691,0.8957420514548927
40,744,0.9191919191919192,0.9398496240601504,0.8992248062015504
50,881,0.9141414141414141,0.9358490566037736,0.9070890911133579
60,1003,0.9191919191919192,0.9398496240601504,0.9059656218402427
70,1159,0.9191919191919192,0.9398496240601504,0.9069767441860465
80,1250,0.9141414141414141,0.9358490566037736,0.9120323559150657
